Mês/Ano,Região Origem,Região Destino,Vendas de Biodiesel
01/2024,NORDESTE,NORDESTE,"52816,162"
01/2024,NORDESTE,NORTE,"280,227"
01/2024,NORTE / CENTRO OESTE,CENTRO OESTE,"88254,991"
01/2024,NORTE / CENTRO OESTE,NORDESTE,"35554,698"
01/2024,NORTE / CENTRO OESTE,NORTE,"59594,468"
01/2024,NORTE / CENTRO OESTE,SUDESTE,"55497,002"
01/2024,NORTE / CENTRO OESTE,SUL,"1156,504"
01/2024,SUDESTE,CENTRO OESTE,"9,894"
01/2024,SUDESTE,NORDESTE,"3430,304"
01/2024,SUDESTE,SUDESTE,"39191,921"
01/2024,SUL,CENTRO OESTE,"1430,887"
01/2024,SUL,NÃO INFORMADA,"3,146"
01/2024,SUL,SUDESTE,"111522,174"
01/2024,SUL,SUL,"148351,647"
12/2023,NORDESTE,NORDESTE,"51534,449"
12/2023,NORDESTE,NORTE,"1110,356"
12/2023,NORTE / CENTRO OESTE,CENTRO OESTE,"89858,068"
12/2023,NORTE / CENTRO OESTE,NÃO INFORMADA,"9,925"
12/2023,NORTE / CENTRO OESTE,NORDESTE,"43971,358"
12/2023,NORTE / CENTRO OESTE,NORTE,"61629,731"
12/2023,NORTE / CENTRO OESTE,SUDESTE,"85187,330"
12/2023,NORTE / CENTRO OESTE,SUL,"1273,139"
12/2023,SUDESTE,NORDESTE,"3442,941"
12/2023,SUDESTE,SUDESTE,"42080,277"
12/2023,SUL,CENTRO OESTE,"467,580"
12/2023,SUL,NÃO INFORMADA,"1,267"
12/2023,SUL,SUDESTE,"114646,703"
12/2023,SUL,SUL,"150103,785"
11/2023,NORDESTE,NORDESTE,"59025,186"
11/2023,NORDESTE,NORTE,"392,906"
11/2023,NORDESTE,SUDESTE,"42,673"
11/2023,NORTE / CENTRO OESTE,CENTRO OESTE,"91395,407"
11/2023,NORTE / CENTRO OESTE,NORDESTE,"50103,698"
11/2023,NORTE / CENTRO OESTE,NORTE,"60387,186"
11/2023,NORTE / CENTRO OESTE,SUDESTE,"87756,822"
11/2023,NORTE / CENTRO OESTE,SUL,"1209,396"
11/2023,SUDESTE,NORDESTE,"2328,344"
11/2023,SUDESTE,SUDESTE,"43203,475"
11/2023,SUL,CENTRO OESTE,"925,090"
11/2023,SUL,NÃO INFORMADA,"0,200"
11/2023,SUL,SUDESTE,"118728,380"
11/2023,SUL,SUL,"151254,431"
10/2023,NORDESTE,NORDESTE,"53051,729"
10/2023,NORDESTE,NORTE,"279,161"
10/2023,NORDESTE,SUDESTE,"453,079"
10/2023,NORTE / CENTRO OESTE,CENTRO OESTE,"104110,548"
10/2023,NORTE / CENTRO OESTE,NORDESTE,"50156,343"
10/2023,NORTE / CENTRO OESTE,NORTE,"65675,985"
10/2023,NORTE / CENTRO OESTE,SUDESTE,"92424,935"
10/2023,NORTE / CENTRO OESTE,SUL,"832,283"
10/2023,SUDESTE,CENTRO OESTE,"43,281"
10/2023,SUDESTE,NORDESTE,"1274,828"
10/2023,SUDESTE,SUDESTE,"39880,803"
10/2023,SUL,CENTRO OESTE,"1476,899"
10/2023,SUL,SUDESTE,"127025,574"
10/2023,SUL,SUL,"155245,440"
09/2023,NORDESTE,CENTRO OESTE,"40,627"
09/2023,NORDESTE,NORDESTE,"52807,143"
09/2023,NORDESTE,SUDESTE,"494,040"
09/2023,NORTE / CENTRO OESTE,CENTRO OESTE,"100820,337"
09/2023,NORTE / CENTRO OESTE,NORDESTE,"46557,630"
09/2023,NORTE / CENTRO OESTE,NORTE,"61539,704"
09/2023,NORTE / CENTRO OESTE,SUDESTE,"93006,964"
09/2023,NORTE / CENTRO OESTE,SUL,"1643,536"
09/2023,SUDESTE,CENTRO OESTE,"170,228"
09/2023,SUDESTE,NORDESTE,"1209,422"
09/2023,SUDESTE,SUDESTE,"33039,267"
09/2023,SUL,CENTRO OESTE,"510,243"
09/2023,SUL,NÃO INFORMADA,"3,200"
09/2023,SUL,SUDESTE,"125676,796"
09/2023,SUL,SUL,"134699,259"
08/2023,NORDESTE,NORDESTE,"58765,858"
08/2023,NORDESTE,SUDESTE,"1553,961"
08/2023,NORTE / CENTRO OESTE,CENTRO OESTE,"109264,088"
08/2023,NORTE / CENTRO OESTE,NORDESTE,"57934,854"
08/2023,NORTE / CENTRO OESTE,NORTE,"68039,573"
08/2023,NORTE / CENTRO OESTE,SUDESTE,"93817,507"
08/2023,NORTE / CENTRO OESTE,SUL,"2207,742"
